Date of Expense,Quarter,Expense Category,Operating Expenses,Payment Method,Department,Supplier Name,Invoice/Receipt Reference,Expense Approval,Budgeted Amount vs. Actual Spend,Location,Department ID,Business Group
2023-01-01 00:00:00,Q1 2023,Maintenance,954,Bank Transfer,Finance,Accenture,INV6489,Pending,853,Ajman,5,Abu Dhabi Aviation
2023-01-02 00:00:00,Q1 2023,Software Subscriptions,3606,Bank Transfer,Sales,IBM,INV4974,Rejected,1446,Sharjah,6,Etihad Engineering
2023-01-02 00:00:00,Q1 2023,Software Subscriptions,1160,Bank Transfer,HR,Intel,INV7135,Approved,1414,Dubai,2,AMMROC
2023-01-02 00:00:00,Q1 2023,Salaries,763,Cash,Finance,PayPal,INV1969,Pending,925,Abu Dhabi,5,GAL
2023-01-04 00:00:00,Q1 2023,Maintenance,4758,Credit Card,Operations,Adobe Inc.,INV4261,Pending,1029,Ras Al Khaimah,4,Abu Dhabi Aviation
2023-01-04 00:00:00,Q1 2023,Maintenance,4161,Credit Card,Research & Development,Cisco Systems,INV3616,Rejected,765,Ajman,9,Etihad Engineering
2023-01-05 00:00:00,Q1 2023,Utilities,4552,Cash,Sales,Amazon,INV5285,Approved,330,Fujairah,6,AMMROC
2023-01-05 00:00:00,Q1 2023,Maintenance,4852,Bank Transfer,HR,Intuit,INV7824,Pending,1387,Dubai,2,GAL
2023-01-05 00:00:00,Q1 2023,Utilities,6557,Cash,IT,Tencent,INV1998,Rejected,973,Ras Al Khaimah,1,Abu Dhabi Aviation
2023-01-06 00:00:00,Q1 2023,Marketing,9821,Cash,Finance,Cisco Systems,INV6411,Rejected,314,Dubai,5,Etihad Engineering
2023-01-08 00:00:00,Q1 2023,Rent,5700,Bank Transfer,Research & Development,Cisco Systems,INV6644,Approved,1323,Fujairah,9,AMMROC
2023-01-10 00:00:00,Q1 2023,Maintenance,6628,Cash,Sales,Accenture,INV9590,Pending,-143,Abu Dhabi,6,GAL
2023-01-11 00:00:00,Q1 2023,Marketing,4836,Bank Transfer,Customer Support,Dell Technologies,INV6890,Pending,1338,Dubai,7,Abu Dhabi Aviation
2023-01-13 00:00:00,Q1 2023,Software Subscriptions,828,Bank Transfer,Finance,Microsoft,INV9285,Pending,-415,Ras Al Khaimah,5,Etihad Engineering
2023-01-13 00:00:00,Q1 2023,Marketing,4207,Cash,Sales,Oracle,INV6770,Pending,418,Ras Al Khaimah,6,AMMROC
2023-01-13 00:00:00,Q1 2023,Salaries,5490,Cash,Finance,HP Inc.,INV5681,Pending,-284,Fujairah,5,GAL
2023-01-14 00:00:00,Q1 2023,Maintenance,6496,Credit Card,Research & Development,Adobe Inc.,INV9261,Rejected,756,Umm Al Quwain,9,Abu Dhabi Aviation
2023-01-15 00:00:00,Q1 2023,Rent,7457,Cash,Sales,Accenture,INV5697,Approved,-390,Umm Al Quwain,6,Etihad Engineering
2023-01-16 00:00:00,Q1 2023,Maintenance,5411,Credit Card,Product Development,Microsoft,INV1838,Pending,198,Sharjah,8,AMMROC
2023-01-17 00:00:00,Q1 2023,Utilities,2533,Bank Transfer,HR,Adobe Inc.,INV7563,Pending,-104,Sharjah,2,GAL
2023-01-17 00:00:00,Q1 2023,Maintenance,4648,Cash,Research & Development,Oracle,INV4618,Approved,-127,Ras Al Khaimah,9,Abu Dhabi Aviation
2023-01-17 00:00:00,Q1 2023,Maintenance,3204,Cash,Finance,PayPal,INV6804,Approved,938,Umm Al Quwain,5,Etihad Engineering
2023-01-19 00:00:00,Q1 2023,Utilities,2589,Cash,Customer Support,Oracle,INV8692,Pending,780,Fujairah,7,AMMROC
2023-01-20 00:00:00,Q1 2023,Software Subscriptions,4074,Cash,IT,Accenture,INV1794,Pending,715,Dubai,1,GAL
2023-01-21 00:00:00,Q1 2023,Maintenance,6086,Credit Card,Finance,Oracle,INV1797,Pending,483,Abu Dhabi,5,Abu Dhabi Aviation
2023-01-21 00:00:00,Q1 2023,Salaries,951,Bank Transfer,HR,Alibaba,INV5272,Rejected,225,Abu Dhabi,2,Etihad Engineering
2023-01-22 00:00:00,Q1 2023,Utilities,5978,Bank Transfer,Sales,Alibaba,INV4625,Approved,-198,Ajman,6,AMMROC
2023-01-23 00:00:00,Q1 2023,Salaries,7199,Credit Card,IT,Accenture,INV3662,Rejected,-392,Fujairah,1,GAL
2023-01-23 00:00:00,Q1 2023,Marketing,1779,Credit Card,Marketing,PayPal,INV8846,Rejected,1336,Dubai,3,Abu Dhabi Aviation
2023-01-24 00:00:00,Q1 2023,Utilities,261,Cash,Finance,PayPal,INV6040,Approved,250,Ajman,5,Etihad Engineering
2023-01-25 00:00:00,Q1 2023,Software Subscriptions,7674,Bank Transfer,Operations,SAP,INV4505,Pending,4,Umm Al Quwain,4,AMMROC
2023-01-26 00:00:00,Q1 2023,Rent,669,Bank Transfer,Marketing,Accenture,INV9920,Approved,77,Sharjah,3,GAL
2023-01-26 00:00:00,Q1 2023,Maintenance,4993,Bank Transfer,Finance,Huawei,INV2196,Rejected,-52,Abu Dhabi,5,Abu Dhabi Aviation
2023-01-27 00:00:00,Q1 2023,Rent,680,Cash,Product Development,Intuit,INV5967,Pending,569,Sharjah,8,Etihad Engineering
2023-01-28 00:00:00,Q1 2023,Rent,8452,Cash,Operations,Google,INV3695,Approved,208,Dubai,4,AMMROC
2023-01-29 00:00:00,Q1 2023,Software Subscriptions,6378,Cash,IT,Dell Technologies,INV6608,Pending,593,Abu Dhabi,1,GAL
2023-01-30 00:00:00,Q1 2023,Marketing,6809,Credit Card,Customer Support,Oracle,INV8585,Rejected,1433,Sharjah,7,Abu Dhabi Aviation
2023-01-30 00:00:00,Q1 2023,Software Subscriptions,5635,Credit Card,Product Development,Microsoft,INV5470,Approved,531,Ajman,8,Etihad Engineering
2023-01-30 00:00:00,Q1 2023,Salaries,4114,Cash,Marketing,Amazon,INV8546,Pending,263,Umm Al Quwain,3,AMMROC
2023-01-30 00:00:00,Q1 2023,Utilities,3427,Cash,Sales,SAP,INV3086,Pending,826,Sharjah,6,GAL
2023-01-31 00:00:00,Q1 2023,Maintenance,9308,Bank Transfer,HR,Oracle,INV2923,Pending,642,Umm Al Quwain,2,Abu Dhabi Aviation
2023-01-31 00:00:00,Q1 2023,Marketing,2305,Cash,Customer Support,Oracle,INV3948,Pending,-63,Ajman,7,Etihad Engineering
2023-02-01 00:00:00,Q1 2023,Marketing,1916,Cash,Product Development,Microsoft,INV1372,Rejected,752,Sharjah,8,AMMROC
2023-02-01 00:00:00,Q1 2023,Rent,5011,Credit Card,Sales,Alibaba,INV4365,Pending,960,Abu Dhabi,6,GAL
2023-02-02 00:00:00,Q1 2023,Software Subscriptions,6794,Credit Card,Sales,Intuit,INV1187,Approved,-245,Ajman,6,Abu Dhabi Aviation
2023-02-02 00:00:00,Q1 2023,Software Subscriptions,3257,Bank Transfer,Finance,Accenture,INV4972,Approved,640,Sharjah,5,Etihad Engineering
2023-02-03 00:00:00,Q1 2023,Rent,2831,Cash,Product Development,Cisco Systems,INV5038,Pending,705,Sharjah,8,AMMROC
2023-02-04 00:00:00,Q1 2023,Rent,5523,Bank Transfer,IT,Huawei,INV7021,Pending,1324,Sharjah,1,GAL
2023-02-04 00:00:00,Q1 2023,Marketing,884,Bank Transfer,Operations,Adobe Inc.,INV1527,Pending,297,Ras Al Khaimah,4,Abu Dhabi Aviation
2023-02-05 00:00:00,Q1 2023,Maintenance,976,Credit Card,Operations,Google,INV5913,Approved,347,Dubai,4,Etihad Engineering
2023-02-05 00:00:00,Q1 2023,Software Subscriptions,5775,Cash,Marketing,Huawei,INV7824,Rejected,157,Umm Al Quwain,3,AMMROC
2023-02-05 00:00:00,Q1 2023,Software Subscriptions,2886,Cash,Marketing,Salesforce,INV1257,Approved,1048,Abu Dhabi,3,GAL
2023-02-05 00:00:00,Q1 2023,Maintenance,254,Cash,Operations,PayPal,INV4088,Approved,-403,Fujairah,4,Abu Dhabi Aviation
2023-02-05 00:00:00,Q1 2023,Maintenance,4489,Cash,IT,Adobe Inc.,INV5215,Pending,197,Umm Al Quwain,1,Etihad Engineering
2023-02-06 00:00:00,Q1 2023,Software Subscriptions,2162,Credit Card,HR,Huawei,INV4340,Approved,688,Ajman,2,AMMROC
2023-02-06 00:00:00,Q1 2023,Salaries,7258,Bank Transfer,Research & Development,Accenture,INV3188,Approved,-355,Ras Al Khaimah,9,GAL
2023-02-06 00:00:00,Q1 2023,Rent,362,Credit Card,HR,SAP,INV7642,Approved,774,Dubai,2,Abu Dhabi Aviation
2023-02-07 00:00:00,Q1 2023,Rent,6393,Cash,Finance,Intel,INV5508,Pending,-448,Umm Al Quwain,5,Etihad Engineering
2023-02-07 00:00:00,Q1 2023,Software Subscriptions,3224,Cash,Research & Development,Tencent,INV6642,Rejected,1275,Sharjah,9,AMMROC
2023-02-08 00:00:00,Q1 2023,Utilities,8854,Cash,Research & Development,Huawei,INV7487,Rejected,184,Ajman,9,GAL
2023-02-08 00:00:00,Q1 2023,Software Subscriptions,6765,Cash,Product Development,Cisco Systems,INV9401,Pending,1096,Fujairah,8,Abu Dhabi Aviation
2023-02-10 00:00:00,Q1 2023,Marketing,1685,Cash,IT,HP Inc.,INV9351,Rejected,-103,Ras Al Khaimah,1,Etihad Engineering
2023-02-10 00:00:00,Q1 2023,Maintenance,9567,Cash,IT,Huawei,INV4728,Approved,453,Ras Al Khaimah,1,AMMROC
2023-02-10 00:00:00,Q1 2023,Utilities,302,Credit Card,Research & Development,Microsoft,INV6417,Approved,175,Abu Dhabi,9,GAL
2023-02-11 00:00:00,Q1 2023,Software Subscriptions,8816,Bank Transfer,Product Development,HP Inc.,INV1724,Rejected,519,Ajman,8,Abu Dhabi Aviation
2023-02-11 00:00:00,Q1 2023,Software Subscriptions,3109,Credit Card,Research & Development,SAP,INV3541,Approved,305,Abu Dhabi,9,Etihad Engineering
2023-02-13 00:00:00,Q1 2023,Salaries,4318,Credit Card,Customer Support,Oracle,INV3662,Rejected,-411,Abu Dhabi,7,AMMROC
2023-02-14 00:00:00,Q1 2023,Maintenance,1785,Cash,Marketing,PayPal,INV7606,Rejected,1403,Ajman,3,GAL
2023-02-16 00:00:00,Q1 2023,Software Subscriptions,1857,Cash,Marketing,PayPal,INV8849,Pending,-311,Abu Dhabi,3,Abu Dhabi Aviation
2023-02-17 00:00:00,Q1 2023,Utilities,8096,Cash,HR,Google,INV2044,Rejected,-467,Sharjah,2,Etihad Engineering
2023-02-17 00:00:00,Q1 2023,Software Subscriptions,8533,Credit Card,Finance,Microsoft,INV9508,Approved,992,Fujairah,5,AMMROC
2023-02-17 00:00:00,Q1 2023,Rent,7104,Credit Card,Marketing,Adobe Inc.,INV1251,Pending,45,Sharjah,3,GAL
2023-02-17 00:00:00,Q1 2023,Software Subscriptions,5151,Bank Transfer,Sales,Cisco Systems,INV4189,Pending,542,Umm Al Quwain,6,Abu Dhabi Aviation
2023-02-18 00:00:00,Q1 2023,Utilities,5692,Bank Transfer,HR,Huawei,INV2279,Rejected,-396,Sharjah,2,Etihad Engineering
2023-02-19 00:00:00,Q1 2023,Utilities,198,Cash,Marketing,Huawei,INV2838,Pending,622,Ajman,3,AMMROC
2023-02-19 00:00:00,Q1 2023,Marketing,2712,Credit Card,Finance,Alibaba,INV3440,Pending,1088,Dubai,5,GAL
